fname,tcount,t,M,r_h,rc_spitzer,N,rv,rg,Z,[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1749844,10000.012904039999,476175.02557687997,3.98692445,0.6542061,1600000,0.5,20.0,0.002,-1.0,5.677766613793395,0.16408790991763086,2.160007974277583,1.6578227850415477
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1760339,10388.910820079998,474394.34549542004,4.02523435,0.8262933000000001,1600000,0.5,20.0,0.002,-1.0,5.6761395038495195,0.20527830882691342,2.157405130123505,2.2409071820694635
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1769587,10777.682256624,472591.1234401,4.0668888,0.78387935,1600000,0.5,20.0,0.002,-1.0,5.6744855601292175,0.19274668882021068,2.154759360696697,2.063511665422875
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1775916,11166.741146568002,470923.90042208,4.10104195,0.79816285,1600000,0.5,20.0,0.002,-1.0,5.672950732400719,0.1946244051465994,2.1523041379284527,2.0900923036529924
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1782465,11555.555922239999,469297.6469321,4.14478375,0.61807765,1600000,0.5,20.0,0.002,-1.0,5.671448376656632,0.14912180882778264,2.149900859723092,1.4459651613984223
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1792675,11944.42288176,467593.77258594,4.17711405,0.5870349,1600000,0.5,20.0,0.002,-1.0,5.669868718594225,0.14053599996868651,2.1473739230716054,1.324425887340195
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1803180,12333.343794072001,466005.53866272,4.21452805,0.6603854,1600000,0.5,20.0,0.002,-1.0,5.668391078484768,0.15669260998274764,2.14501018180433,1.5531361561776498
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1809387,12722.260284024002,464400.11927428,4.254575099999999,0.6112941999999999,1600000,0.5,20.0,0.002,-1.0,5.6668923226086445,0.14367925953404842,2.1426126622112376,1.3689213439733727
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1815743,13111.115745408,462872.31103820005,4.3050502,0.59614765,1600000,0.5,20.0,0.002,-1.0,5.665461202120067,0.13847635272638634,2.1403233371342836,1.295269865496081
N1.6e6_rv0.5_rg20_Z0.002.tar.gz,1820839,13499.897795616,461328.73409462,4.3348112,0.59858165,1600000,0.5,20.0,0.002,-1.0,5.664010505703207,0.13808713283752705,2.13800269696969,1.2897601338543307
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1192904,10000.050936336,491269.9095199,3.8011816,0.118735635,1600000,0.5,20.0,0.02,0.0,5.691320164237262,0.03123650682724551,2.1816892255492664,-0.22279945500704126
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1202236,10388.885170391999,488285.3541216,3.9021915000000003,0.09387879,1600000,0.5,20.0,0.02,0.0,5.688673698030668,0.024057965889167664,2.17745574451086,-0.3244176797695126
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1214115,10777.767165936,485156.93959180004,4.00463695,0.089640735,1600000,0.5,20.0,0.02,0.0,5.685882247826131,0.02238423510525717,2.1729903364579948,-0.348110732781038
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1227741,11166.651814895999,481882.39523662,4.117026,0.064345245,1600000,0.5,20.0,0.02,0.0,5.682941060372074,0.015629059665885032,2.168285397741559,-0.44373586636032075
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1237957,11555.570958264,479095.79776632,4.22342555,0.077023845,1600000,0.5,20.0,0.02,0.0,5.6804223616014085,0.018237292001039296,2.1642563028449375,-0.40681416570377754
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1252430,11944.425535175998,475972.99204448,4.318854,0.08214835000000001,1600000,0.5,20.0,0.02,0.0,5.677582310412043,0.019020867572740362,2.159713149099644,-0.3957220009797268
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1258074,12333.323451216,473604.17313664005,4.40942005,0.072261975,1600000,0.5,20.0,0.02,0.0,5.675415520493221,0.016388090538119637,2.1562469933585717,-0.4329911522963172
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1267537,12722.223136199998,471036.9596289,4.5008031,0.07444353,1600000,0.5,20.0,0.02,0.0,5.673054985118573,0.016540054818216774,2.152470908206168,-0.43083997136637836
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1278631,13111.113091991998,468578.56475863996,4.5886403499999995,0.067291325,1600000,0.5,20.0,0.02,0.0,5.670782417807756,0.014664763386827649,2.148835543207034,-0.45738628318849395
N1.6e6_rv0.5_rg20_Z0.02.tar.gz,1288350,13499.996856479998,466381.08620054,4.6676451,0.066316645,1600000,0.5,20.0,0.02,0.0,5.668740929561217,0.01420773078912962,2.145569829191749,-0.4638559601935109
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1637542,10000.069510247999,403655.77809311997,3.1679094500000002,0.64362935,1600000,0.5,2.0,0.002,-1.0,5.606011173531928,0.20317163737113758,2.045222720268875,2.211085493325144
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1640609,10388.854213871999,400113.15600662,3.17937565,0.5346209,1600000,0.5,2.0,0.002,-1.0,5.602182831526822,0.1681527944016304,2.039098624201914,1.7153646098624493
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1646759,10777.746823079999,396426.06344796,3.192144,0.53297175,1600000,0.5,2.0,0.002,-1.0,5.598162199898817,0.16696356743304813,2.0326669275805247,1.6985301118175942
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1653224,11166.668619864,392882.82031697995,3.2111392000000003,0.52352985,1600000,0.5,2.0,0.002,-1.0,5.594263038726137,0.16303555137067863,2.026429543989871,1.6429257734792602
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1658003,11555.561229072,389465.44543522,3.2349883,0.47731676,1600000,0.5,2.0,0.002,-1.0,5.590468931783896,0.1475482183351328,2.0203602128351266,1.4236896775994825
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1663529,11944.44941592,385934.5552671,3.25288355,0.427148745,1600000,0.5,2.0,0.002,-1.0,5.586513665562734,0.13131387534607564,2.0140330795026045,1.1938790337704048
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1671933,12333.332295936,382341.2307211,3.2633449500000005,0.36126951,1600000,0.5,2.0,0.002,-1.0,5.582451133774037,0.11070527803075184,2.0075343563175077,0.9021471773816898
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1677095,12722.215175952,378842.12056347996,3.2898370499999996,0.316975825,1600000,0.5,2.0,0.002,-1.0,5.578458258903944,0.09635000766983277,2.0011470614375857,0.6989363713634241
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1683744,13111.118398824,375238.30618805997,3.3106577000000006,0.30901191,1600000,0.5,2.0,0.002,-1.0,5.574307166905633,0.09333852605782832,1.9945066708594867,0.6563063413954318
N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1690830,13499.947326048,371584.17750594,3.34215735,0.27093009,1600000,0.5,2.0,0.002,-1.0,5.570057212942274,0.0810644328280953,1.9877081334464075,0.48255633072703663
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1400760,10000.002290376,414533.39156796003,3.3062112,0.07033884,1600000,0.5,2.0,0.02,0.0,5.6175595196622075,0.021274757039114744,2.063696299960037,-0.3638163187025807
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1412402,10388.865712008,409008.21112872,3.3857887000000004,0.06918035000000002,1600000,0.5,2.0,0.02,0.0,5.611732026863326,0.020432565682554263,2.0543742159659018,-0.3757382386724192
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1425656,10777.768050408,403518.59518978,3.4633328000000003,0.058690475,1600000,0.5,2.0,0.02,0.0,5.605863552942183,0.01694624178190441,2.0449865755691974,-0.42509005665144634
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1436586,11166.689847192,398476.84935912,3.5338438500000002,0.064908255,1600000,0.5,2.0,0.02,0.0,5.6004030948973895,0.01836760698976555,2.0362516272309024,-0.4049694485212007
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1446815,11555.575380623999,393613.61500118,3.60777545,0.054607525,1600000,0.5,2.0,0.02,0.0,5.595070112161792,0.015136065355730494,2.0277205977270896,-0.4507146113515442
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1455743,11944.472412191997,389071.43152794003,3.67033065,0.06744892,1600000,0.5,2.0,0.02,0.0,5.5900293428950505,0.01837679665182209,2.019657014275106,-0.4048393612022862
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1464674,12333.321682272,384432.94734501996,3.74156305,0.058007545,1600000,0.5,2.0,0.02,0.0,5.584820601257062,0.015503559401464584,2.0113247299242096,-0.4455124271109852
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1475258,12722.235518808002,379981.67896135995,3.8033467000000005,0.0365048025,1600000,0.5,2.0,0.02,0.0,5.579762657359441,0.009598073849013029,2.003233672675664,-0.5291094927789335
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1484776,13111.123705656,375732.85167054,3.8665019,0.066298125,1600000,0.5,2.0,0.02,0.0,5.574879168647356,0.017146797470861196,1.99542168671024,-0.42225102386559166
