t,x0,y0,z0,vx0,vy0,vz0,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
0.000000e+00,-9.097373e+01,-8.485460e-01,0.000000e+00,4.844042e+00,2.823269e-04,0.000000e+00,3.496892e+01,2.006320e-01,6.491421e-01,-1.130880e-02,-3.704281e-01,2.571235e+00,3.344162e+01,3.126104e-01,-3.557562e-03,-1.790795e+00,1.925719e-03,-1.409141e-02
2.185890e+08,-9.092529e+01,-8.485432e-01,-1.666636e-13,4.844074e+00,2.826259e-04,-3.362009e-11,3.496800e+01,1.969873e-01,6.745065e-01,-1.717365e-01,-3.585415e-01,2.501734e+00,3.342371e+01,3.126294e-01,-3.696569e-03,-1.789927e+00,1.860465e-03,-1.371052e-02
1.054573e+09,-9.074003e+01,-8.485323e-01,-4.129594e-12,4.844197e+00,2.837738e-04,-1.775917e-10,3.495036e+01,1.841251e-01,7.651630e-01,-7.399192e-01,-3.143855e-01,2.240064e+00,3.335532e+01,3.126958e-01,-4.193404e-03,-1.786859e+00,1.618048e-03,-1.227646e-02
2.165308e+09,-9.049388e+01,-8.485179e-01,-1.873126e-11,4.844361e+00,2.853099e-04,-4.031632e-10,3.489533e+01,1.695964e-01,8.702696e-01,-1.413520e+00,-2.576993e-01,1.897118e+00,3.326461e+01,3.127701e-01,-4.769430e-03,-1.783228e+00,1.306817e-03,-1.039698e-02
3.545966e+09,-9.018789e+01,-8.484998e-01,-5.422006e-11,4.844566e+00,2.872369e-04,-7.274813e-10,3.478177e+01,1.555211e-01,9.765403e-01,-2.171750e+00,-1.878707e-01,1.465664e+00,3.315211e+01,3.128406e-01,-5.351837e-03,-1.779149e+00,9.234152e-04,-8.032432e-03
5.149670e+09,-8.983245e+01,-8.484786e-01,-1.226663e-10,4.844806e+00,2.894999e-04,-1.142984e-09,3.459187e+01,1.447926e-01,1.064868e+00,-3.000092e+00,-1.036360e-01,9.343419e-01,3.302175e+01,3.128916e-01,-5.835906e-03,-1.774698e+00,4.609384e-04,-5.120572e-03
6.618990e+09,-8.950678e+01,-8.484591e-01,-2.126496e-10,4.845028e+00,2.915969e-04,-1.533504e-09,3.436492e+01,1.406215e-01,1.109765e+00,-3.755783e+00,-1.875578e-02,3.890134e-01,3.290259e+01,3.129072e-01,-6.081964e-03,-1.770638e+00,-5.014935e-06,-2.131951e-03
7.828966e+09,-8.923859e+01,-8.484429e-01,-3.061623e-10,4.845212e+00,2.933410e-04,-1.841613e-09,3.413917e+01,1.417464e-01,1.117225e+00,-4.408068e+00,6.142217e-02,-1.338433e-01,3.280467e+01,3.128950e-01,-6.122844e-03,-1.767131e+00,-4.450674e-04,7.335162e-04
8.874518e+09,-8.900683e+01,-8.484289e-01,-4.001643e-10,4.845371e+00,2.948608e-04,-2.084244e-09,3.391392e+01,1.465822e-01,1.098316e+00,-5.020208e+00,1.432326e-01,-6.740633e-01,3.272023e+01,3.128633e-01,-6.019220e-03,-1.763835e+00,-8.939835e-04,3.694141e-03
9.758748e+09,-8.881082e+01,-8.484169e-01,-4.881988e-10,4.845507e+00,2.961553e-04,-2.263805e-09,3.369939e+01,1.540139e-01,1.060133e+00,-5.597720e+00,2.270244e-01,-1.233586e+00,3.264894e+01,3.128182e-01,-5.809961e-03,-1.760721e+00,-1.353675e-03,6.760551e-03
1.050073e+10,-8.864634e+01,-8.484068e-01,-5.672717e-10,4.845621e+00,2.972482e-04,-2.391351e-09,3.350025e+01,1.631396e-01,1.008700e+00,-6.148778e+00,3.138344e-01,-1.819204e+00,3.258922e+01,3.127645e-01,-5.528087e-03,-1.757743e+00,-1.829833e-03,9.969975e-03
1.111993e+10,-8.850908e+01,-8.483984e-01,-6.362951e-10,4.845717e+00,2.981649e-04,-2.478924e-09,3.331875e+01,1.732661e-01,9.487599e-01,-6.678754e+00,4.046578e-01,-2.437750e+00,3.253947e+01,3.127058e-01,-5.199589e-03,-1.754874e+00,-2.327921e-03,1.335986e-02
1.163489e+10,-8.839492e+01,-8.483914e-01,-6.954091e-10,4.845797e+00,2.989305e-04,-2.537332e-09,3.315552e+01,1.838827e-01,8.838961e-01,-7.191103e+00,5.005341e-01,-3.096633e+00,3.249816e+01,3.126451e-01,-4.844109e-03,-1.752095e+00,-2.853645e-03,1.697081e-02
1.206217e+10,-8.830020e+01,-8.483855e-01,-7.453945e-10,4.845863e+00,2.995681e-04,-2.575264e-09,3.301023e+01,1.946220e-01,8.167534e-01,-7.687469e+00,6.025551e-01,-3.803883e+00,3.246394e+01,3.125840e-01,-4.476139e-03,-1.749400e+00,-3.412997e-03,2.084682e-02
1.241622e+10,-8.822171e+01,-8.483807e-01,-7.873097e-10,4.845918e+00,3.000979e-04,-2.599268e-09,3.288193e+01,2.052287e-01,7.492279e-01,-8.167840e+00,7.119117e-01,-4.568486e+00,3.243562e+01,3.125241e-01,-4.106073e-03,-1.746787e+00,-4.012512e-03,2.503716e-02
1.270941e+10,-8.815671e+01,-8.483766e-01,-8.222772e-10,4.845964e+00,3.005377e-04,-2.614052e-09,3.276935e+01,2.155336e-01,6.826273e-01,-8.630519e+00,8.299562e-01,-5.400857e+00,3.241221e+01,3.124662e-01,-3.741074e-03,-1.744269e+00,-4.659606e-03,2.959889e-02
1.295226e+10,-8.810287e+01,-8.483733e-01,-8.513711e-10,4.846002e+00,3.009027e-04,-2.622886e-09,3.267106e+01,2.254346e-01,6.177937e-01,-9.071921e+00,9.582951e-01,-6.313569e+00,3.239284e+01,3.124107e-01,-3.385760e-03,-1.741864e+00,-5.363091e-03,3.460092e-02
